mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
127620;9;0;1;0;-38,2500306;-72,6660703
127664;8;0;0;0;-32,8375596;-70,951859
128314;3;0;1;0;-33,5165791;-70,8331574
128940;1;0;0;0;-36,7088142;-73,122172
129989;1;1;0;0;-33,5781174;-70,5690168
130705;5;0;0;0;-33,3768169;-70,6361259
130754;11;1;1;0;-42,5052115;-73,7897989
131100;4;0;0;1;-33,457905;-70,5774932
131435;11;1;1;1;-36,9962933;-73,1584352
131467;5;0;1;0;-33,746194;-70,7422575
132196;10;1;0;1;-33,4408998;-70,5543719
132227;5;0;0;1;-33,5117928;-70,6510908
132704;1;0;0;0;-20,2903928;-70,0946678
133531;10;1;1;1;-34,1853094;-70,641685
133636;1;0;1;0;-33,558179;-70,6667859
135294;1;1;1;0;-33,4159339;-70,7518595
135871;11;1;0;1;-33,4172344;-70,7351004
136112;9;0;1;0;-36,6383328;-73,0615376
136252;9;0;1;0;-38,7680046;-72,7518271
137210;7;1;0;0;-33,4889399;-70,7688068
138399;1;0;0;0;-22,4511065;-68,9347934
139091;9;1;0;1;-34,1709541;-70,7389989
139209;9;0;1;0;-33,4082662;-70,7333713
140086;7;1;1;0;-33,0490115;-71,6552839
140237;1;1;1;0;-33,0247522;-71,5148049
141108;1;1;0;0;-33,8079337;-70,74134
141572;7;1;0;0;-33,5023254;-70,5759149
141787;5;1;0;1;-33,4546843;-70,6174406
141862;2;1;1;0;-33,2033894;-70,6735427
142048;9;0;1;0;-23,6385588;-70,3934635
142087;9;0;1;0;-37,4756865;-72,3589884
142672;4;0;0;0;-32,7412758;-70,7326893
143222;9;0;1;0;-23,6212823;-70,3841657
143340;4;1;0;1;-41,4536161;-72,943205
143635;9;1;0;1;-33,4198724;-70,6616162
144189;1;0;0;0;-34,1687052;-70,7168686
145001;3;0;0;0;-33,6746498;-71,2089259
145735;5;1;0;0;-33,0100762;-71,5507612
146824;10;0;1;0;-33,5959908;-70,6790873
148140;6;1;1;0;-33,5208204;-70,5886931
148471;5;0;0;1;-29,9446909;-71,2691943
148566;7;0;1;0;-36,6067832;-72,1072637
148575;4;0;0;0;-33,6214903;-71,614808
148909;9;1;1;0;-37,7995027;-72,7034074
149554;2;1;0;0;-33,4311328;-70,6007896
149654;9;1;0;0;-33,4620604;-70,6175607
150084;11;0;1;0;-30,0032684;-71,3293542
150509;9;0;1;0;-33,040662;-71,5839825
151507;1;0;1;0;-33,0016801;-71,5062182
151836;9;1;1;0;-29,9564539;-71,3380299
151960;9;1;0;0;-33,522208;-70,6185839
152119;1;1;0;0;-33,5083105;-70,753772
152409;1;1;0;0;-23,6001336;-70,3783448
152792;1;1;0;0;-33,3837968;-70,6703114
152945;10;0;1;0;-35,8445578;-71,5968009
153339;1;0;0;0;-23,5809369;-70,3763348
154592;1;0;0;0;-42,9157015;-72,7039193
154696;9;0;0;0;-32,447147;-71,2370367
155823;9;1;0;1;-33,5732506;-70,5585123
155929;1;1;1;0;-20,208972;-70,1480862
155997;9;0;1;0;-30,604292;-71,1910999
156068;1;1;0;0;-33,4588418;-71,6579077
156085;4;1;0;0;-29,9410619;-71,2531752
156523;5;1;1;1;-29,9754556;-71,3007429
156932;7;0;1;0;-33,5305242;-70,5584183
157044;1;0;0;0;-33,3263473;-70,7494
157156;8;1;1;0;-38,954048;-72,628374
157384;1;1;1;0;-36,84035;-73,1044239
157580;9;0;1;0;-27,3588836;-70,327195
159734;8;1;1;0;-33,0447527;-71,3812024
160978;2;1;0;0;-32,9995158;-71,2688949
162422;9;1;0;0;-33,0526199;-71,6139491
163583;3;0;1;1;-32,7863055;-71,1920413
164390;9;0;1;0;-30,8580414;-71,2289437
164544;1;1;1;0;-37,7198976;-72,2452645
165782;9;1;0;1;-33,3612337;-70,7300867
166039;9;0;0;0;-33,4529074;-70,5774876
166053;9;0;1;0;-36,7402158;-72,4634542
166109;9;0;1;0;-33,061002;-71,6296037
166364;1;0;0;0;-33,2026176;-70,6704016
166365;1;0;0;0;-36,8226186;-73,0436579
167427;9;0;0;0;-33,6526931;-70,9153386
167537;1;0;0;0;-33,434768;-70,7611853
167764;9;0;0;0;-37,4751106;-73,3426711
168003;1;0;1;0;-33,7030478;-71,2185274
168398;1;1;0;0;-33,5080385;-70,7926813
168877;1;1;0;0;-33,6022609;-70,8809767
169743;9;0;1;0;-27,0754637;-70,8146559
171117;10;0;0;0;-20,218046;-70,1530594
172497;1;1;0;0;-33,5582802;-70,5583123
173218;9;1;0;0;-33,0246018;-71,5522862
173490;9;0;1;0;-33,4471964;-70,6365918
174524;9;0;0;0;-39,8970138;-72,6881448
174560;9;0;1;0;-41,8766691;-73,8166112
174968;9;1;0;0;-33,4449282;-70,7456431
175013;9;1;0;0;-33,47635;-70,7432418
175254;3;1;1;0;-29,9010364;-71,2501969
175341;7;0;1;0;-36,8331569;-73,052817
175518;11;0;0;0;-40,5863211;-73,1743572
176756;1;0;1;0;-33,5486723;-70,7971152
176757;0;0;0;0;-42,4599207;-73,7995491
176873;1;0;0;0;-37,4636904;-72,3331595
177165;6;1;1;0;-33,5775227;-70,6607191
177394;11;1;0;0;-33,0217114;-71,5512467
177426;7;0;0;0;-40,9124682;-73,1548668
177889;7;0;0;0;-37,4685955;-72,350643
178435;4;0;0;0;-29,9011135;-71,2507991
179894;10;0;0;1;-20,2567372;-70,1276433
180058;10;0;1;1;-39,2895919;-72,2239851
180403;3;1;0;0;-33,0475156;-71,3731306
180479;1;1;0;0;-22,4804732;-68,9306713
181082;9;0;1;0;-41,2317916;-72,5730669
182178;9;1;1;0;-36,7529923;-73,0938279
182340;6;0;0;0;-20,2322744;-70,1371121
182817;1;0;0;0;-32,8651432;-71,2352021
182997;9;0;1;0;-33,412636;-70,6242406
184042;12;0;0;0;-34,1739683;-70,6940486
184403;6;0;1;0;-42,4361722;-73,7577628
184437;1;1;1;0;-18,4462591;-70,2955278
184939;0;0;1;0;-32,8328255;-70,6020125
185997;9;0;0;0;-30,5818824;-71,1980678
186308;12;0;1;1;-33,4224758;-70,7182164
187350;3;0;0;0;-33,5919909;-70,7120232
187722;0;0;1;0;-35,5236048;-71,6945905
187850;1;0;1;0;-36,8389216;-73,102575
188360;10;0;0;0;-34,0636018;-70,7260125
188501;9;1;1;1;-28,5752356;-70,760627
188776;9;1;1;0;-41,3953671;-73,4595707
189723;3;0;1;0;-27,3731453;-70,3356002
192508;5;0;1;1;-42,483151;-73,7613192
192704;1;1;1;0;-35,4307917;-71,6618546
192874;3;0;0;0;-23,576037;-70,384808
193543;1;0;0;0;-33,5763556;-70,5770501
194706;5;0;0;0;-33,5278238;-70,5812711
197706;10;0;1;0;-35,1119186;-71,2788654
197743;10;1;1;0;-33,4116693;-70,5465581
198163;9;1;1;1;-34,9914492;-71,2551627
198827;10;1;1;0;-38,7403048;-72,951924
198987;6;1;1;1;-33,2987287;-70,876436
199868;7;0;0;0;-37,7965887;-72,7077938
200188;9;0;0;0;-36,8277946;-73,0534867
