mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
177521;12588;711000000131
177547;18204;501000000132
178458;12185;501000000133
178926;22322;711000000133
179304;13463;111000000133
179582;707;111000000111
179995;10291;401000000133
180058;20095;131000000133
180235;5589;811000000133
180325;10026;111000000131
180799;25043;501000000133
180877;5575;611000000131
181334;9077;711000000133
181484;16676;131000000133
181548;10424;111000000131
181907;9414;711000000133
181934;4160;411000000133
182106;10266;111000000133
182303;20041;111000000133
182518;6902;111000000133
182607;11147;111000000132
183131;12590;111000000132
183305;1161;401000000131
183627;11709;111000000133
183949;2442;131000000113
183993;22270;131000000113
184248;25028;131000000131
184285;26228;711000000133
184403;8003;511000000133
185417;9727;111000000131
185646;9834;131000000133
186232;4169;111000000132
187722;292;401000000132
188500;14673;811000000133
188846;1553;411000000133
189161;25369;111000000131
189455;14359;501000000132
189995;22434;431000000133
190508;5569;611000000133
190989;40043;111000000132
191088;2131;501000000131
191444;1547;111000000131
192508;40282;411000000133
192704;2948;501000000131
193313;13504;331000000133
194312;40422;131000000133
194455;6087;611000000133
194629;52;411000000133
196342;10736;111000000133
196535;15589;811000000131
197026;3390;611000000133
197226;24856;111000000133
197341;24622;111000000131
197611;12605;231000000133
198921;7200;131000000133
198966;8706;711000000133
199154;6501;401000000232
199228;8444;501000000133
199627;10187;131000000113
199903;1923;111000000132
200734;16695;611000000133
200860;1367;131000000113
200959;4715;131000000133
201096;5387;501000000133
201283;16446;231000000133
201316;8424;341041002133
201505;2311;711000000133
201892;20052;451058034133
201959;13606;501000000131
201960;10324;501000000131
202201;1884;131000000133
203266;1368;111000000113
203326;9906;131000000133
203356;1521;511000000113
203449;2793;131000000131
203536;2329;711000000133
203993;25386;111000000132
204033;10204;111000000133
204253;15646;211000000131
205297;3885;231000000133
205976;4672;211000000133
206574;5654;711000000133
207404;3008;811000000132
207735;2754;411000000133
208136;6460;111000000133
208625; ; 
208700;24213;811000000133
208835;1515;711000000131
209528;7343;211000000131
210058;2124;111000000132
210454;22014;211000000133
210652;4588;331000000131
210888;3010;511000000131
211524;22010;511000000133
211717;16541;611000000233
211900;14778;611000000133
212334;1996;131000000133
212925;9886;711000000133
213163;1554;611000000133
213256;410;111000000131
214095;24313;711000000133
214741;9105;501000000133
215015;2422;131000000133
215837;448;131000000133
216006;1363;131000000133
216320;20364;431000000133
216658;5590;131000000133
216760;8506;131000000131
217750;8004;401000000132
217858;24438;131000000133
218604;14868;711000000133
219347;1610;111000000131
219678;15757;711000000133
219857;11931;501000000132
221035;7629;131000000133
221604;2171;311000000133
221741;1192;501000000131
222572;2950;111000000133
222866;289;611000000133
223919;18147;501000000132
223920;10881;501000000132
224490;2160;501000000133
225318;1196;131000000133
225651; ; 
225849;292;511000000133
226132;6897;131000000133
226175;5270;711000000133
226399;40457;131000000133
227282;2737;461064001133
227334;1720;311000000133
227727;8;131000000133
228181;26084;111000000133
228877;17907;711000000133
229851;2336;311000000133
229865;6007;131000000133
230276;10749;131000000133
230281;534;611000000133
230426;297;311000000131
230473;40343;231000000133
231116;1443;131000000133
231304;15775;341041005113
231834;25050;501000000131
232780;8441;311000000133
233379;4162;341041002131
233481;616;501000000133
233718;13593;811000000133
233742;2134;131000000133
234061;26362;501000000231
234645;9834;131000000133
235122;13135;111000000131
235420;1197;111000000133
236031;1889;411000000133
236538;4554;131000000133
236760;9948;111000000131
236963;15700;431000000133
237651;7641;111000000133
238285;31343;711000000133
239440;5315;611000000133
239564;2734;511000000133
240156;1482;501000000132
240319;9903;501000000131
240337;1534;111000000133
240543;26352;501000000131
240792;16715;811000000133
240885;20478;231000000133
240933;1684;111000000133
241448;701;131000000133
242090;14856;311000000133
242860;16541;501000000232
243800;8375;361064008133
244136;144;231000000131
244382;15746;501000000131
245312;9688;131000000133
245522;3541;211000000133
246242;3642;131000000111
246674;14885;311000000133
246754;12772;401000000133
246868;1534;501000000131
247171;6060;111000000133
247318;9328;131000000131
247459;8845;501000000131
247809;5703;131000000133
248490;10324;501000000131
248816;419;211000000133
249469;16685;131000000133
250681;4977;231000000133
251004;9106;501000000133
251455; ; 
252050;10413;111000000132
252588;25028;111000000132
252802;8109;131000000133
252837;25853;131000000133
252958;40298;211000000132
253246;2532;211000000133
253318;9629;401000000131
253370;9869;401000000131
254089;11265;211000000131
254159;1326;501000000131
254234;17828;611000000131
254397;6070;131000000133
255138;9328;131000000131
255353;7636;501000000131
256382;4287;351053014133
257206;2948;111000000131
258600;3265;311000000133
258641;30006;311000000133
260056;16443;131000000131
260188;3530;331000000133
260270;7349;411000000133
260763;2416;211000000133
260885;40343;511000000133
261155;1537;111000000113
261486;24733;501000000131
