id_colegio,internado,politica_uniforme,orientacion_religiosa,alumnos_matriculados,alumnos_prom_curso,genero,actividades_extra,apoyo_academico,deportes,idioma,infraestructura,programas
302,0,0,1,579,28,1,3,8,8,1,9,4
303,0,1,1,556,27,1,4,6,6,1,5,7
304,0,1,1,1359,37,1,7,8,9,2,9,8
305,0,1,1,1118,34,1,5,8,6,1,7,8
306,0,1,1,335,33,1,3,6,2,1,4,7
310,0,1,1,555,27,1,4,7,4,1,7,7
312,0,1,1,723,30,1,5,8,5,1,9,8
313,0,1,1,1210,32,1,3,6,5,1,6,6
315,0,1,1,543,30,1,5,8,7,1,7,7
316,0,1,1,413,29,1,4,7,3,1,9,7
317,0,1,1,1030,36,1,2,7,5,1,6,6
318,0,0,1,298,29,1,1,5,1,1,6,6
319,0,0,1,931,30,1,4,7,3,1,8,6
322,0,1,1,601,30,1,4,7,3,1,9,7
324,0,1,1,603,27,1,0,3,3,0,8,3
326,0,1,1,614,30,1,3,6,5,1,8,7
329,0,0,1,625,36,1,6,5,5,2,8,7
332,0,1,1,595,33,1,1,8,3,1,7,6
335,0,1,7,619,44,1,2,8,3,2,6,8
336,0,0,1,1313,41,1,4,3,6,2,8,7
337,0,1,5,992,36,1,8,4,3,2,6,9
341,0,1,8,753,39,1,4,7,2,2,7,7
342,0,1,5,1325,38,1,5,6,7,2,10,9
343,0,1,7,689,38,1,5,6,4,1,8,8
344,0,0,5,1003,38,1,4,3,7,2,9,7
350,0,0,5,744,31,1,4,4,5,2,5,8
356,0,1,5,1107,39,1,5,3,4,2,9,8
365,0,1,1,892,28,1,2,3,6,2,8,5
367,0,1,1,1570,37,1,5,8,5,2,11,6
368,0,1,1,1092,29,1,4,8,3,1,8,7
369,0,1,1,18,3,1,6,5,3,1,5,6
370,0,1,1,186,18,1,2,7,2,1,8,4
371,0,1,1,157,11,1,7,7,8,2,8,7
372,0,1,1,588,29,1,4,8,9,2,8,7
373,0,1,1,608,33,1,6,6,4,2,8,7
374,0,1,1,429,20,1,4,8,6,1,7,4
375,0,1,1,501,26,1,4,6,8,1,7,6
377,0,1,1,28,4,1,2,2,3,1,7,6
379,0,1,1,701,29,1,4,6,7,1,10,7
380,0,1,1,347,34,1,4,7,4,1,7,7
381,0,1,1,141,15,1,4,5,5,1,5,5
382,0,1,1,374,34,1,6,7,7,1,7,7
384,1,0,1,522,26,1,8,6,8,1,10,7
386,0,1,1,597,22,1,6,7,7,1,8,6
387,0,0,1,35,4,1,0,4,3,1,8,0
390,0,1,5,673,29,1,3,7,6,2,9,7
392,0,1,5,595,27,1,4,7,6,2,9,7
396,0,1,1,678,30,1,6,7,6,1,8,6
399,0,1,1,918,32,1,6,7,5,1,9,8
400,0,1,1,1013,33,1,7,5,5,2,9,6
401,0,1,1,870,33,1,6,7,7,1,7,7
403,0,1,1,714,23,1,3,7,4,1,8,5
405,0,1,1,656,28,1,4,8,8,1,7,4
406,0,1,1,848,29,1,8,7,3,1,4,7
407,0,1,1,500,25,1,4,7,4,1,5,5
408,0,1,1,1065,34,1,6,6,6,1,7,8
410,0,1,1,597,33,1,4,6,1,1,7,7
411,0,0,1,633,31,1,5,5,8,2,8,8
413,0,1,1,260,26,1,6,7,4,1,4,7
416,0,1,1,729,31,1,3,8,3,1,5,5
417,0,1,1,810,36,1,8,7,7,2,6,7
418,0,1,1,1065,30,1,5,7,7,1,4,6
419,0,1,1,675,27,1,5,3,3,2,8,6
420,0,1,1,1607,28,1,8,8,5,2,10,9
421,0,1,1,1094,36,1,7,7,9,1,8,5
423,0,0,1,345,34,1,5,7,6,1,8,7
427,0,1,1,415,34,1,6,7,5,1,5,5
429,0,1,5,2137,35,1,8,8,7,2,10,9
430,0,1,5,1020,34,2,5,6,4,2,6,8
431,0,1,5,904,32,2,9,8,7,2,10,9
433,0,1,8,1035,43,1,3,7,6,2,8,8
434,0,1,5,857,40,1,3,7,2,1,8,7
437,0,0,1,1226,43,1,6,6,8,1,10,7
438,0,1,1,508,29,1,1,6,2,1,6,6
439,0,0,1,1,1,1,2,0,2,0,4,3
440,0,1,5,1149,35,1,7,6,8,2,7,8
441,0,0,1,303,14,1,4,5,3,2,6,3
442,0,0,1,487,37,1,6,6,6,1,6,6
444,0,1,1,388,18,1,3,7,1,1,8,4
445,0,0,1,42,7,1,0,3,2,0,4,5
446,0,1,1,39,6,1,2,4,5,1,4,5
447,0,1,1,6,1,1,1,1,1,0,1,2
448,0,1,1,860,35,1,8,7,4,1,10,7
449,0,1,1,686,31,1,3,6,5,1,11,8
450,0,1,1,303,30,1,5,6,9,1,10,7
452,0,1,1,397,39,1,4,7,7,1,7,8
453,0,1,1,744,33,1,7,5,7,1,8,7
454,0,1,1,936,39,1,5,7,6,1,8,6
455,0,1,1,344,34,1,0,6,1,1,7,1
458,0,0,1,357,35,1,4,7,5,1,5,7
459,0,1,1,558,31,1,5,8,5,1,9,6
461,0,1,1,309,28,1,3,6,2,2,5,7
463,0,0,1,144,14,1,4,4,3,1,9,6
464,0,1,1,649,32,1,4,7,7,1,8,5
467,0,1,1,8,1,1,0,1,3,1,5,6
468,0,0,1,18,3,1,3,3,1,1,4,4
469,0,1,1,45,5,1,2,3,3,1,4,5
471,0,0,1,76,9,1,1,3,2,1,2,4
476,0,0,1,77,9,1,3,4,6,2,3,4
478,0,1,5,1206,41,1,3,6,5,2,6,8
479,0,1,5,970,42,1,4,5,4,2,7,9
481,0,1,1,412,22,1,4,5,5,1,7,7
482,0,1,1,27,4,1,1,1,1,1,7,5
483,0,0,1,38,6,1,5,2,6,2,7,6
484,0,0,1,82,10,1,3,4,2,2,6,4
485,0,1,1,10,2,1,3,1,4,1,2,5
486,0,1,1,457,28,1,2,3,7,1,7,7
487,0,0,1,391,17,1,7,7,4,2,8,7
489,0,1,1,379,29,1,5,7,4,1,5,7
490,0,0,1,20,3,1,4,2,4,1,2,3
492,0,1,5,271,27,1,1,5,1,1,6,8
493,0,1,1,188,18,1,3,6,4,2,6,7
495,0,1,1,11,2,1,2,5,2,1,2,3
496,0,1,1,21,3,1,3,4,1,0,3,6
497,0,1,1,12,2,1,3,2,2,1,2,2
498,0,0,1,2,2,1,2,1,1,1,2,4
499,0,1,1,222,22,1,3,7,3,1,4,6
500,0,0,1,2,1,1,5,1,4,0,3,6
502,0,0,1,5,1,1,5,1,2,1,3,8
503,0,0,1,4,1,1,1,1,3,0,5,4
504,0,1,1,19,3,1,4,1,3,2,2,6
508,0,1,1,9,1,1,1,1,3,0,1,1
514,0,0,1,10,2,1,2,3,2,0,3,1
516,0,1,1,601,27,1,5,8,6,2,10,7
517,0,0,1,923,29,1,2,4,5,2,10,4
518,0,1,1,442,34,1,5,6,4,1,7,6
519,0,1,1,940,32,1,6,7,9,1,8,7
521,0,1,1,486,34,1,2,4,2,1,6,4
522,0,1,1,557,30,2,2,6,3,1,9,8
523,0,1,1,263,26,1,2,6,1,1,4,3
525,0,1,1,604,33,1,3,7,6,1,6,7
526,0,1,1,563,40,1,3,4,5,2,6,5
527,0,1,1,647,35,1,6,8,6,1,7,5
528,0,1,1,377,37,1,4,8,3,1,9,8
530,0,1,1,932,31,1,2,7,4,2,6,6
533,0,1,1,34,8,1,5,7,7,1,3,6
534,0,1,1,549,30,1,2,8,2,1,7,6
535,0,1,1,705,35,1,6,7,5,2,9,7
536,0,1,1,221,22,1,2,8,5,1,7,5
539,0,1,1,176,17,1,4,6,4,1,7,5
540,0,1,1,97,9,1,3,6,4,1,5,5
542,0,1,1,153,15,1,1,6,1,1,5,6
543,0,1,1,225,22,1,3,6,8,2,5,6
546,0,0,1,155,15,1,5,5,2,2,6,4
548,0,1,1,176,17,1,2,6,4,1,5,7
550,0,0,1,5,1,1,1,0,3,0,3,1
551,0,1,1,194,19,1,3,7,2,1,7,6
552,0,0,1,2,1,1,3,1,3,1,3,3
554,0,0,1,18,3,1,1,1,2,1,2,2
556,0,1,1,218,21,1,3,6,4,1,5,6
557,0,1,1,282,28,1,2,6,4,1,5,7
558,0,1,1,17,2,1,0,1,2,0,2,1
560,0,0,1,198,19,1,4,5,5,1,4,8
561,0,1,1,31,5,1,0,2,1,1,5,2
562,0,1,1,315,31,1,3,6,5,1,5,7
564,0,0,1,12,2,1,4,1,4,1,3,4
565,0,1,8,915,39,1,3,7,5,2,9,8
566,0,1,1,321,32,1,4,4,4,1,7,5
567,0,1,5,1225,43,1,7,8,7,2,10,8
568,0,1,5,572,44,1,2,4,5,2,6,9
570,0,0,5,622,44,1,5,7,6,2,9,6
