mrun;cod_nivel;es_mujer;prioritario;lat_con_error;lon_con_error;calidad_georef;cod_com;nom_com
8184761;9;0;0;-34,408901;-70,860115;2;6115;RENGO
8189293;1;0;1;-20,267946;-70,102318;2;1107;ALTO HOSPICIO
8189614;1;0;0;-34,18259;-70,651115;2;6108;MACHALI
8189855;9;1;1;-34,404053;-70,865028;1;6115;RENGO
8195292;1;1;1;-29,935846;-71,338516;1;4102;COQUIMBO
8195474;1;1;1;-41,965805;-72,470123;2;10403;HUALAIHUE
8200391;3;0;0;-53,127197;-70,875252;1;12101;PUNTA ARENAS
8201366;1;1;1;-43,118206;-73,61805;2;10208;QUELLON
8206484;9;1;1;-40,583172;-73,139336;1;10301;OSORNO
8210442;-1;1;1;-42,482834;-73,762733;2;10201;CASTRO
8212278;7;0;1;-40,574604;-73,135757;2;10301;OSORNO
8214662;0;1;1;-41,135899;-73,028061;2;10105;FRUTILLAR
8216935;9;1;1;-29,872229;-71,235031;1;4101;LA SERENA
8221305;4;1;0;-51,725929;-72,509537;2;12401;NATALES
8222573;9;0;0;-43,119652;-73,616341;1;10208;QUELLON
8223955;9;0;0;-29,902227;-71,2509;2;4101;LA SERENA
8224989;1;0;0;-53,163712;-70,94487;1;12101;PUNTA ARENAS
8226725;-1;1;0;-33,98008;-70,711525;2;6110;MOSTAZAL
8229071;-1;1;1;-34,583561;-70,989891;2;6301;SAN FERNANDO
8229594;9;1;1;-30,604809;-71,205421;2;4301;OVALLE
8236902;-1;1;1;-42,482834;-73,762733;2;10201;CASTRO
8237757;1;0;0;-20,240522;-70,136597;1;1101;IQUIQUE
8238501;7;1;0;-29,902227;-71,2509;2;4101;LA SERENA
8248798;1;1;1;-41,472149;-72,937233;2;10101;PUERTO MONTT
8250210;0;1;0;-29,953829;-71,338135;2;4102;COQUIMBO
8251144;7;0;1;-41,396317;-73,462578;2;10106;LOS MUERMOS
8251515;7;1;1;-34,44664;-70,946281;2;6109;MALLOA
8253370;0;0;1;-41,868153;-73,828209;2;10202;ANCUD
8256652;7;1;1;-40,913002;-73,158173;2;10303;PURRANQUE
8259387;0;1;0;-30,602486;-71,188034;1;4301;OVALLE
8262437;7;1;1;-29,965248;-71,33757;1;4102;COQUIMBO
8263772;1;0;0;-20,267946;-70,102318;2;1107;ALTO HOSPICIO
8266627;9;0;1;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8268393;-1;0;0;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8270834;9;1;0;-34,064541;-70,725945;2;6106;GRANEROS
8275076;-1;1;1;-31,177811;-71,000801;1;4302;COMBARBALA
8280332;-1;1;0;-53,17704;-70,923897;1;12101;PUNTA ARENAS
8281823;-1;1;1;-40,972916;-72,883698;2;10302;PUERTO OCTAY
8286302;1;0;0;-30,833839;-71,258026;2;4304;PUNITAQUI
8290670;-1;1;0;-30,604809;-71,205421;2;4301;OVALLE
8299604;1;0;0;-34,18259;-70,651115;2;6108;MACHALI
8299759;9;1;1;-34,639771;-71,365753;2;6310;SANTA CRUZ
8300664;9;0;0;-34,226551;-70,964355;2;6105;DOÑIHUE
8300755;12;1;1;-54,934601;-67,596947;2;12201;CABO DE HORNOS
8301166;-1;1;0;-20,213099;-70,153725;2;1101;IQUIQUE
8302072;-1;0;1;-41,472149;-72,937233;2;10101;PUERTO MONTT
8302293;1;1;1;-20,279146;-70,101242;1;1107;ALTO HOSPICIO
8304212;9;1;1;-34,408901;-70,860115;2;6115;RENGO
8305617;0;0;1;-34,638374;-71,117798;2;6308;PLACILLA
8305718;-1;0;1;-34,638374;-71,117798;2;6308;PLACILLA
8308251;9;1;1;-42,380592;-73,647926;2;10205;DALCAHUE
8310066;0;0;1;-33,98008;-70,711525;2;6110;MOSTAZAL
8310786;-1;0;0;-20,267946;-70,102318;2;1107;ALTO HOSPICIO
8318544;9;0;0;-34,170376;-70,740807;2;6101;RANCAGUA
8326232;0;0;1;-30,604809;-71,205421;2;4301;OVALLE
8328779;-1;0;1;-41,153004;-73,421379;2;10104;FRESIA
8330619;0;1;0;-29,902227;-71,2509;2;4101;LA SERENA
8335820;9;1;1;-34,287685;-71,084137;2;6104;COLTAUCO
8336351;-1;0;1;-41,256516;-73,005882;2;10107;LLANQUIHUE
8340258;1;1;1;-34,639771;-71,365753;2;6310;SANTA CRUZ
8342340;9;0;0;-31,177759;-71,002197;2;4302;COMBARBALA
8346020;9;1;1;-29,953829;-71,338135;2;4102;COQUIMBO
8348864;1;1;1;-34,70842;-71,041237;2;6303;CHIMBARONGO
8351909;0;0;0;-29,923525;-71,206497;1;4101;LA SERENA
8356827;1;0;0;-34,185764;-70,719147;1;6101;RANCAGUA
8360761;-1;1;0;-40,574604;-73,135757;2;10301;OSORNO
8363092;7;0;0;-40,412209;-73,011978;2;10307;SAN PABLO
8364300;-1;1;0;-29,953829;-71,338135;2;4102;COQUIMBO
8364861;-1;0;1;-34,638374;-71,117798;2;6308;PLACILLA
8368992;-1;0;0;-41,479431;-72,985786;1;10101;PUERTO MONTT
8370443;-1;1;1;-40,562355;-73,170898;1;10301;OSORNO
8371986;9;0;1;-34,408901;-70,860115;2;6115;RENGO
8374883;7;0;1;-34,396793;-71,618919;2;6204;MARCHIHUE
8377703;0;0;0;-20,224398;-70,134026;1;1101;IQUIQUE
8389966;-1;1;0;-34,572903;-70,984917;1;6301;SAN FERNANDO
8390887;-1;1;0;-41,480038;-72,990227;1;10101;PUERTO MONTT
8391797;4;1;0;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8392602;-1;0;1;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8398547;9;1;1;-41,256516;-73,005882;2;10107;LLANQUIHUE
8400509;1;0;0;-29,921585;-71,217102;1;4101;LA SERENA
8400883;-1;0;0;-20,24498;-70,135651;1;1101;IQUIQUE
8408508;9;1;1;-34,439323;-71,07608;2;6117;SAN VICENTE
8416695;9;0;0;-20,267946;-70,102318;2;1107;ALTO HOSPICIO
8417505;-1;0;0;-34,286243;-70,816078;2;6116;REQUINOA
8419345;0;1;0;-42,599369;-73,676056;2;10206;PUQUELDON
8428609;-1;0;0;-20,267946;-70,102318;2;1107;ALTO HOSPICIO
8431367;1;1;1;-29,912334;-71,22493;1;4101;LA SERENA
8431533;9;1;0;-53,170609;-70,948502;1;12101;PUNTA ARENAS
8433952;1;0;1;-34,186028;-70,761208;1;6101;RANCAGUA
8435086;1;1;0;-53,14901;-70,929375;1;12101;PUNTA ARENAS
8440124;9;0;0;-34,408901;-70,860115;2;6115;RENGO
8446285;-1;0;1;-34,408901;-70,860115;2;6115;RENGO
8450642;0;1;0;-41,868153;-73,828209;2;10202;ANCUD
8454600;-1;0;0;-53,18206;-70,934311;1;12101;PUNTA ARENAS
8456610;9;1;1;-41,771721;-73,126595;1;10102;CALBUCO
8457209;1;1;1;-34,387108;-72,00441;2;6201;PICHILEMU
8459493;0;0;1;-20,267946;-70,102318;2;1107;ALTO HOSPICIO
8460077;9;1;1;-29,953829;-71,338135;2;4102;COQUIMBO
8462729;9;1;1;-29,989859;-71,330322;1;4102;COQUIMBO
8467739;0;0;1;-34,439323;-71,07608;2;6117;SAN VICENTE
8468000;9;1;0;-34,435143;-71,10125;1;6117;SAN VICENTE
8469061;-1;0;1;-20,287695;-70,091263;1;1107;ALTO HOSPICIO
8469352;-1;1;1;-34,629921;-71,359032;1;6310;SANTA CRUZ
8472478;-1;0;0;-34,226551;-70,964355;2;6105;DOÑIHUE
8472643;0;0;0;-29,902227;-71,2509;2;4101;LA SERENA
8476485;-1;1;1;-33,953205;-71,83033;2;6205;NAVIDAD
8479863;9;1;0;-34,639771;-71,365753;2;6310;SANTA CRUZ
8481220;-1;1;1;-40,574604;-73,135757;2;10301;OSORNO
8484992;9;1;0;-41,256516;-73,005882;2;10107;LLANQUIHUE
8488396;-1;0;0;-34,603348;-71,653221;2;6309;PUMANQUE
8489120;9;1;0;-34,170376;-70,740807;2;6101;RANCAGUA
8491245;10;0;0;-53,155853;-70,943382;1;12101;PUNTA ARENAS
8492191;7;0;1;-34,079906;-70,729332;1;6106;GRANEROS
8492493;9;1;0;-41,472149;-72,937233;2;10101;PUERTO MONTT
8493777;0;0;1;-31,780977;-70,965851;2;4204;SALAMANCA
8495802;9;0;1;-41,472149;-72,937233;2;10101;PUERTO MONTT
8497014;1;1;1;-34,160328;-70,713753;1;6101;RANCAGUA
8504126;9;1;0;-40,575214;-73,170929;1;10301;OSORNO
8512259;7;1;1;-40,574604;-73,135757;2;10301;OSORNO
8516295;-1;1;1;-42,599369;-73,676056;2;10206;PUQUELDON
8516736;0;0;0;-53,143711;-70,880852;1;12101;PUNTA ARENAS
8520827;-1;0;0;-29,902227;-71,2509;2;4101;LA SERENA
8521719;1;0;0;-34,292046;-71,309166;2;6107;LAS CABRAS
8523602;9;1;1;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8524825;-1;0;0;-53,137367;-70,91362;1;12101;PUNTA ARENAS
8526432;0;1;1;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8527484;-1;1;1;-31,633623;-71,168144;2;4201;ILLAPEL
8528265;-1;0;1;-41,396317;-73,462578;2;10106;LOS MUERMOS
8533141;0;0;0;-34,139137;-70,73214;1;6101;RANCAGUA
8533645;9;0;1;-31,909607;-71,511116;2;4203;LOS VILOS
8537714;3;1;0;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8538950;0;0;1;-41,772583;-73,127243;2;10102;CALBUCO
8541700;-1;0;0;-34,597839;-71,363297;2;6306;PALMILLA
8542112;-1;1;1;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8550457;1;0;0;-20,263256;-70,130753;1;1101;IQUIQUE
8560181;9;1;1;-41,450268;-72,964577;1;10101;PUERTO MONTT
8561469;-1;0;1;-30,604809;-71,205421;2;4301;OVALLE
8564406;-1;1;0;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8564981;9;0;1;-34,638374;-71,117798;2;6308;PLACILLA
8574035;9;0;1;-34,286243;-70,816078;2;6116;REQUINOA
8589531;0;0;0;-29,953829;-71,338135;2;4102;COQUIMBO
8595013;9;1;0;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8596137;-1;0;1;-34,064541;-70,725945;2;6106;GRANEROS
8599432;-1;0;1;-30,604809;-71,205421;2;4301;OVALLE
8602706;-1;0;0;-34,583561;-70,989891;2;6301;SAN FERNANDO
8604286;7;0;1;-34,116604;-71,729256;2;6203;LITUECHE
8607036;0;0;1;-34,648445;-71,899963;2;6206;PAREDONES
8611422;1;0;1;-41,472149;-72,937233;2;10101;PUERTO MONTT
8612601;9;0;0;-41,472149;-72,937233;2;10101;PUERTO MONTT
8617892;3;0;0;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8618268;1;0;1;-41,965805;-72,470123;2;10403;HUALAIHUE
8618317;9;1;0;-34,176422;-70,757904;1;6101;RANCAGUA
8618883;1;0;0;-51,725929;-72,509537;2;12401;NATALES
8628940;0;0;0;-20,213099;-70,153725;2;1101;IQUIQUE
8629895;-1;1;0;-30,695105;-70,957626;2;4303;MONTE PATRIA
8630317;-1;0;1;-30,604809;-71,205421;2;4301;OVALLE
8632242;0;0;1;-34,408901;-70,860115;2;6115;RENGO
8634272;2;1;0;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8640588;-1;0;1;-34,408901;-70,860115;2;6115;RENGO
8641715;1;0;0;-34,639771;-71,365753;2;6310;SANTA CRUZ
8646932;0;1;1;-41,463371;-72,964317;1;10101;PUERTO MONTT
8647585;0;1;1;-30,604809;-71,205421;2;4301;OVALLE
8649077;9;0;0;-34,292046;-71,309166;2;6107;LAS CABRAS
8651861;7;0;1;-41,772583;-73,127243;2;10102;CALBUCO
8652954;1;0;0;-31,633623;-71,168144;2;4201;ILLAPEL
8655933;-1;1;0;-40,574604;-73,135757;2;10301;OSORNO
8657157;-1;0;0;-34,396488;-71,169037;2;6112;PEUMO
8661041;1;1;1;-20,237335;-70,143654;1;1101;IQUIQUE
8670800;-1;1;0;-30,604809;-71,205421;2;4301;OVALLE
8672817;0;1;0;-29,902227;-71,2509;2;4101;LA SERENA
8677272;1;0;1;-34,292046;-71,309166;2;6107;LAS CABRAS
8683060;1;1;1;-34,168072;-70,782448;1;6101;RANCAGUA
8687885;-1;0;0;-20,213099;-70,153725;2;1101;IQUIQUE
8688993;-1;1;1;-29,902227;-71,2509;2;4101;LA SERENA
8692255;1;0;0;-29,920877;-71,218445;1;4101;LA SERENA
