mrun;cod_nivel;rbd;cod_curso;preferencia_postulante;agregada_por_continuidad;prioridad_matriculado;prioridad_hermano;prioridad_hijo_funcionario;prioridad_exalumno;loteria_original
182973;-1;22196;40100033;2;0;0;0;0;0;5
182973;-1;22380;40100033;3;0;0;1;0;0;5
184170;9;2551;13100031;1;0;0;0;0;0;68
184170;9;2612;13100033;2;0;0;0;0;0;5
186974;9;988;13100033;2;0;0;0;0;0;2
186974;9;1048;13100033;1;0;0;0;0;0;12
186974;9;13486;13100033;3;0;0;1;0;0;6
187068;9;2283;13100033;1;0;0;0;0;0;72
187068;9;2285;13100033;2;0;0;0;0;0;33
194291;-1;2140;40100032;1;0;0;0;0;0;4
196688;1;12726;11100033;1;0;0;0;0;0;37
196688;1;40399;11100033;2;0;0;0;0;0;10
201111;1;530;11100033;2;0;0;0;0;0;38
201111;1;13463;11100031;3;1;1;0;0;0; 
201111;1;13552;11100033;1;0;0;0;0;0;39
203460;-1;7850;40100031;1;0;0;0;0;0;2
204252;0;714;50100033;2;0;0;0;0;0;28
204252;0;721;50100032;1;0;0;0;0;0;8
205090;-1;2209;40100031;1;0;0;1;0;0;1
205090;-1;2210;40100031;2;0;0;0;0;0;3
209615;1;126;11100033;4;1;1;0;0;0; 
209615;1;12711;11100033;1;0;0;0;0;0;2
209615;1;12719;11100033;2;0;0;0;0;0;7
209615;1;12749;11100033;3;0;0;0;0;0;17
210842;1;535;11100033;2;0;0;0;0;0;43
210842;1;40298;11100032;1;0;0;0;0;0;22
210919;9;516;13100033;1;0;0;0;0;0;10
210919;9;518;13100013;4;0;0;0;0;0;3
210919;9;531;13100033;2;0;0;0;0;0;5
210919;9;578;13100033;3;0;0;0;0;0;16
210919;9;13330;13100031;5;0;0;0;0;0;12
215398;9;7720;13100033;1;0;0;0;0;0;29
215398;9;7722;13100033;2;0;0;0;0;0;13
220139;9;107;13100033;2;0;0;0;0;0;40
220139;9;108;13100033;5;0;0;0;0;0;25
220139;9;131;13100031;7;0;0;0;0;0;28
220139;9;12591;13100033;3;0;0;0;0;0;2
220139;9;12602;13100033;6;0;0;0;0;0;16
220139;9;12747;13100033;4;0;0;0;0;0;1
220139;9;40295;13100033;1;0;0;0;0;0;2
231397;0;2412;50100033;1;0;0;1;0;0;6
231397;0;2413;50100031;2;0;0;0;0;0;5
231673;-1;7343;40100032;1;0;0;0;0;0;16
231673;-1;7385;40100031;2;0;0;0;0;0;3
231673;-1;22255;40100032;3;0;0;0;0;0;5
234331;0;521;50100033;1;0;0;0;0;0;4
234331;0;40298;50100031;2;0;0;0;0;0;7
243794;1;535;11100033;1;0;0;0;0;0;46
243794;1;13504;11100033;2;0;0;0;0;0;25
243938;9;2134;13100033;2;0;0;0;0;0;99
243938;9;15750;13100033;1;0;0;0;0;0;7
244253;9;629;13100033;3;1;1;0;0;0; 
244253;9;772;17104133;2;0;0;0;0;0;17
244253;9;11139;13100033;1;0;0;0;0;0;10
244336;9;2111;13100033;4;0;0;0;0;0;84
244336;9;2123;13100033;2;0;0;0;0;0;5
244336;9;2422;13100033;5;0;0;0;0;0;1
244336;9;15646;13100033;1;0;0;0;0;0;38
244336;9;15775;13100013;3;0;0;0;0;0;34
244791;1;673;11100033;1;0;0;0;0;0;1
244791;1;681;11100033;2;0;0;0;0;0;1
244791;1;13606;11100033;3;1;1;0;0;0; 
247766;9;22464;13100033;1;0;0;0;0;0;10
248081;0;11261;50100031;2;0;0;0;0;0;4
248081;0;15770;50100033;1;0;0;0;0;0;2
248795;-1;7632;40100032;3;0;0;0;0;0;1
248795;-1;7648;40100031;2;0;0;0;0;0;4
248795;-1;22509;40100033;1;0;0;0;0;0;4
251024;1;525;11100033;2;0;0;0;0;0;79
251024;1;13587;11100033;1;0;0;0;0;0;54
253542;-1;16950;40100033;1;0;0;1;0;0;1
255548;9;22196;13100033;2;0;0;0;0;0;11
255548;9;22597;13100033;1;0;0;0;0;0;3
257722;0;2155;50100031;2;0;0;0;0;0;9
257722;0;2155;50100032;3;0;0;0;0;0;12
257722;0;2167;50100032;4;0;0;0;0;0;9
257722;0;15662;50100032;1;0;0;0;0;0;5
260225;1;530;11100033;3;0;0;0;0;0;12
260225;1;647;11100032;1;0;0;0;0;0;23
260225;1;13504;11100033;5;0;0;0;0;0;20
260225;1;13552;11100033;2;0;0;0;0;0;16
260225;1;31221;11100033;4;0;0;0;0;0;9
267892;0;2553;50100031;1;0;0;0;0;0;12
267892;0;2555;50100031;2;0;0;0;0;0;7
268859;-1;12719;40100033;2;0;0;0;0;0;19
268859;-1;40422;40100033;1;0;0;0;0;0;9
271343;-1;7801;40100033;1;0;0;1;0;0;3
280768;7;188;71100033;2;0;0;0;0;0;2
280768;7;12591;71100033;3;0;0;1;0;0;11
280768;7;12623;71100033;1;0;0;0;0;0;2
282350;1;7634;11100033;2;0;0;0;0;0;3
282350;1;22195;11100032;1;0;0;1;0;0;1
283140;7;8003;71100033;3;0;0;0;0;0;1
283140;7;22372;71100033;1;0;0;0;0;0;1
283140;7;22535;71100033;2;0;0;0;0;0;5
287193;7;2284;71100033;1;0;0;0;0;0;7
287193;7;2286;71100033;6;0;0;0;0;0;5
287193;7;2288;71100033;7;0;0;0;0;0;1
287193;7;2289;71100033;5;0;0;0;0;0;2
287193;7;2292;71100033;2;0;0;0;0;0;4
287193;7;15614;71100033;3;0;0;0;0;0;1
287193;7;15724;71100033;4;0;0;0;0;0;5
287344;9;7626;13100033;3;0;0;0;0;0;65
287344;9;22461;13100033;1;0;0;0;0;0;47
287344;9;22494;13100033;2;0;0;0;0;0;21
289280;-1;708;40100033;4;0;0;0;0;0;13
289280;-1;709;40100033;5;0;0;0;0;0;1
289280;-1;710;40100033;3;0;0;0;0;0;2
289280;-1;711;40100033;2;0;0;0;0;0;17
289280;-1;13551;40100032;1;0;0;0;0;0;45
290763;2;8438;21100033;2;0;0;0;0;0;3
290763;2;24313;21100031;1;0;0;0;0;0;10
292770;7;706;71100033;3;0;0;0;0;0;17
292770;7;707;71100011;2;0;0;0;0;0;6
292770;7;711;71100033;4;0;0;0;0;0;2
292770;7;712;71100033;1;0;0;0;0;0;8
