mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error;orden_postulantes
765364;15608;40100031;8617
765884;7397;40100031;8563
772260;2660;50100033;6763
776278;13552;11100033;1412
776367;2112;50100032;20
779938;13610;71100033;5892
783766;13558;71100033;5860
784544;22464;13100033;4682
786184;8434;61100033;6598
786237;15750;40100032;7948
793877;2111;13100033;4668
795175;2330;11100033;9
798547;13529;40100032;6707
800385;2163;13100031;4726
802656;701;13100033;3125
803041;40295;40100031;6602
806015;12749;13100033;4127
807297;617;11100033;6035
815531;969;40100032;8882
822467;2209;40100031;7049
826412;13427;11100032;1991
827129;8005;11100033;1384
828406;40144;40100031;7634
828660;7331;13100033;5127
830496;7802;11100033;578
830985;111;40100033;8148
833636;113;40100031;8833
835909;8441;50100033;669
840244;8439;50100032;2013
843304;2330;11100033;6565
844721;8442;11100033;834
852141;40383;40100033;3006
852254;542;40100033;8374
853477;109;13100033;4448
854184;8433;11100033;6452
861514;2488;50100031;2217
861745;22229;40100033;7393
861765;15646;13100033;4105
863574;7942;13100031;2761
864639;7772;13100033;2843
867024;15535;50100031;768
876979;709;40100033;7568
884211;7331;13100033;2778
885112;620;50100031;5513
885333;7341;50100033;1977
886802;646;11100032;6683
899185;40194;71100033;6462
908059;13350;50100032;6846
908185;8439;21100031;2616
909167;2171;40100031;2104
909847;16923;50100031;6617
914144;2518;71100033;5736
916622;13532;50100031;5531
918027;639;40100033;8540
923402;8438;41100033;1894
926877;15726;13100031;3102
927272;15583;13100033;5049
931412;7647;71100033;3673
931579;40101;71100033;5639
938588;2155;71100033;5849
940061;2456;50100032;4771
940949;2579;40100032;8180
943024;7336;50100033;2738
944056;7460;40100033;1747
951416;7628;13100013;3898
951827;2174;71100031;6492
952575;15720;13100033;3687
955967;108;13100033;5086
960612;2226;40100032;7774
964525;2457;40100031;6976
967348;15570;11100033;1919
972583;7335;40100033;7698
974228;2308;40100032;7441
978089;12192;71100033;5421
984856;2264;40100031;8925
985240;97;13100033;2928
990693;13587;50100033;3511
991884;8047;50100033;2090
992161;8109;13100033;4431
993807;13532;50100031;5994
995323;161;40100033;8752
995324;8256;40100033;8755
995403;8475;40100032;8125
1001707;539;50100031;2062
1002016;12704;40100032;8042
1002578;7696;40100032;8000
1004756;13576;71100033;6375
1004795;516;71100033;5394
1014636;15676;40100033;7011
1019005;40144;40100031;7385
1022692;7331;13100033;4140
1024732;13474;40100033;8561
1028354;22688;40100033;6771
1031084;615;50100033;2470
1032924;2111;13100033;4865
1036523;13557;40100033;7041
1039429;7331;13100033;3369
1044206;531;40100033;6779
1045831;13350;40100031;7021
1055072;40416;50100031;2225
1058071;2625;13100033;4775
1059128;13303;40100031;8580
1062401;22628;40100031;8551
1063134;2553;11100033;439
1063618;22535;50100033;5841
1068566;2164;71100031;6242
1068623;2532;40100032;7333
1070021;20460;40100031;8334
1076610;8434;51100033;792
1078547;2155;50100031;6801
1081745;8441;40100033;6808
1086676;2173;13100033;3915
1087719;40043;11100032;9134
1094466;12509;71100031;5966
1096942;22697;50100031;136
1097798;7724;11100033;1892
1102417;2707;50100031;5529
1103037;12711;40100033;7017
1108204;665;13100033;4954
1108793;2476;50100031;4571
1112105;8429;13100033;4753
1122854;22173;50100031;2506
1123786;22397;13100031;4484
1126298;40343;40100031;9031
1127036;24316;36103533;2362
1127263;8004;71100033;3655
1131285;24329;13100023;5130
1131635;2163;13100031;3877
1132710;40006;40100031;7293
1136816;2559;50100031;1514
1138110;13551;13100033;4302
1140826;15832;11100033;165
1142442;7543;11100033;483
1143341;126;50100033;215
1146127;2456;40100031;8819
1149947;8435;71100033;5573
1155484;8441;31100033;2453
1155922;22413;40100031;9102
1159103;1087;50100033;3375
1166262;22523;71100033;3826
1167755;13491;13100033;4231
1170941;2413;50100031;1849
1176551;2387;40100031;7993
1178599;518;13100013;4842
1178793;2518;40100033;7784
1179847;40295;40100031;8005
1180867;8454;71100023;5533
1182864;13620;40100032;9076
1182971;40455;13100033;5042
1184832;40144;40100031;7806
1186691;12617;71100031;6010
1198042;2411;13100033;4407
1201064;12519;50100031;6106
1201623;40194;71100033;5734
1203370;8425;23100033;3351
1208377;40416;50100031;124
1208619;24313;81100033;3721
1208694;13587;11100033;5755
1210103;24313;40100032;7786
1210869;22612;50100033;2066
1212484;7724;11100033;5884
1213172;22535;50100033;5378
1214213;15759;13100033;3451
1216321;15614;71100033;5926
1217379;13586;50100031;6855
1219321;2553;11100033;1038
1222063;22461;13100033;4524
1222288;15646;13100033;4041
1224111;131;71100031;5279
1224330;7419;50100033;129
1228997;610;13100031;3656
1236001;2232;40100031;7649
1236640;2375;13100033;3883
1240708;7631;40100032;8991
1244383;8442;13100033;3662
1244764;7326;13100033;4497
1245746;11248;13100033;4684
1246612;2425;50100031;1997
1247070;13513;11100033;6685
1251432;2233;13100031;3935
1266145;114;11100033;438
1267432;13331;50100032;2130
1270914;12747;11100033;1562
1277958;7967;40100033;8678
1282316;7508;40100033;8319
1290736;22640;40100032;7987
