rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_regular;vacantes_prioritarios;software_aleatorio;habilitado_distancia
7924;7;71100033;110;7;3;0;0;0;0;-41,038513;-73,410797;18;9;9;0;1;1
7927;1;11100033;110;1;3;0;0;0;0;-41,114754;-73,561249;5;5;4;1;1;0
7929;1;11100033;110;1;3;0;0;0;0;-41,047092;-73,485558;8;8;6;2;1;1
7929;7;71100033;110;7;3;0;0;0;0;-41,047092;-73,485558;9;0;0;0;1;1
7930;1;11100033;110;1;3;0;0;0;0;-41,289742;-73,614624;10;10;8;2;1;0
7931;1;11100033;110;1;3;0;0;0;0;-41,199162;-73,556877;5;4;4;0;1;1
7933;1;11100033;110;1;3;0;0;0;0;-41,20211;-73,348038;12;12;10;2;1;0
7936;1;11100033;110;1;3;0;0;0;0;-41,182144;-73,616402;6;6;5;1;1;0
7938;1;11100033;110;1;3;0;0;0;0;-41,128654;-73,372459;5;5;4;1;1;0
7939;1;11100033;110;1;3;0;0;0;0;-41,260643;-73,371147;4;4;3;1;1;0
7940;1;11100033;110;1;3;0;0;0;0;-41,218349;-73,48822;15;15;12;3;1;0
7940;7;71100033;110;7;3;0;0;0;0;-41,218349;-73,48822;20;9;9;0;1;0
7941;9;13100033;310;1;3;0;0;0;0;-41,15313;-73,416946;140;33;33;0;2;1
7942;-1;40100032;10;4;2;0;0;0;0;-41,154068;-73,423401;70;40;40;0;1;1
7942;0;50100031;10;5;1;0;0;0;0;-41,154068;-73,423401;70;19;19;0;1;1
7942;1;11100031;110;1;1;0;0;0;0;-41,154068;-73,423401;70;13;13;0;1;1
7942;7;71100031;110;7;1;0;0;0;0;-41,154068;-73,423401;70;0;0;0;1;1
7942;9;13100031;310;1;1;0;0;0;0;-41,154068;-73,423401;70;5;5;0;1;1
7944;1;11100033;110;1;3;0;0;0;0;-41,125732;-73,489777;6;5;5;0;1;0
7945;1;11100033;110;1;3;0;0;0;0;-41,13298;-73,679939;4;4;3;1;1;0
7946;1;11100033;110;1;3;0;0;0;0;-41,013382;-73,439476;15;13;10;3;1;0
7947;1;11100033;110;1;3;0;0;0;0;-41,151241;-73,553215;7;6;4;2;1;0
7948;1;11100033;110;1;3;0;0;0;0;-41,26162;-73,619438;5;5;4;1;1;0
7949;1;11100033;110;1;3;0;0;0;0;-41,207253;-73,706421;5;4;3;1;1;0
7950;1;11100033;110;1;3;0;0;0;0;-41,23357;-73,601936;5;3;3;0;1;0
7952;1;11100033;110;1;3;0;0;0;0;-41,106461;-73,672714;5;5;4;1;1;0
7953;1;11100033;110;1;3;0;0;0;0;-41,07029;-73,527313;4;3;3;0;1;0
7954;1;11100033;110;1;3;0;0;0;0;-41,062637;-73,655647;8;8;6;2;1;0
7956;9;13100033;310;1;3;0;0;0;0;-41,2691;-72,997986;135;80;80;0;1;1
7958;-1;40100031;10;4;1;0;0;0;0;-41,252258;-73,007484;35;23;23;0;1;1
7958;-1;40100032;10;4;2;0;0;0;0;-41,252258;-73,007484;35;25;25;0;1;1
7958;0;50100031;10;5;1;0;0;0;0;-41,252258;-73,007484;35;12;12;0;1;1
7958;0;50100032;10;5;2;0;0;0;0;-41,252258;-73,007484;35;21;21;0;1;1
7958;1;11100033;110;1;3;0;0;0;0;-41,252258;-73,007484;76;17;17;0;1;1
7958;7;71100033;110;7;3;0;0;0;0;-41,252258;-73,007484;76;12;12;0;1;1
7959;-1;40100033;10;4;3;0;0;0;0;-41,268581;-72,996933;33;14;14;0;1;1
7959;0;50100033;10;5;3;0;0;0;0;-41,268581;-72,996933;66;28;28;0;1;1
7959;1;11100033;110;1;3;0;0;0;0;-41,268581;-72,996933;76;19;19;0;1;1
7959;7;71100033;110;7;3;0;0;0;0;-41,268581;-72,996933;76;27;27;0;1;1
7961;-1;40100031;10;4;1;0;0;0;0;-41,19112;-73,065674;10;7;6;1;1;1
7961;0;50100031;10;5;1;0;0;0;0;-41,19112;-73,065674;10;0;0;0;1;1
7961;1;11100033;110;1;3;0;0;0;0;-41,19112;-73,065674;36;26;26;0;1;1
7961;7;71100033;110;7;3;0;0;0;0;-41,19112;-73,065674;36;29;27;2;1;1
7962;1;11100033;110;1;3;0;0;0;0;-41,292294;-73,19857;15;15;12;3;1;1
7962;7;71100033;110;7;3;0;0;0;0;-41,292294;-73,19857;30;21;21;0;1;1
7966;1;11100033;110;1;3;0;0;0;0;-41,292713;-73,255386;15;15;12;3;1;1
7967;-1;40100033;10;4;3;0;0;0;0;-41,221058;-73,135674;10;7;7;0;1;1
7967;0;50100033;10;5;3;0;0;0;0;-41,221058;-73,135674;10;4;4;0;1;1
7967;1;11100033;110;1;3;0;0;0;0;-41,221058;-73,135674;12;6;6;0;1;1
7967;7;71100033;110;7;3;0;0;0;0;-41,221058;-73,135674;24;19;19;0;1;1
7968;1;11100033;110;1;3;0;0;0;0;-41,186905;-73,217674;5;5;4;1;1;0
7970;-1;40100031;10;4;1;0;0;0;0;-41,271835;-72,995537;15;1;1;0;1;1
7970;0;50100031;10;5;1;0;0;0;0;-41,271835;-72,995537;10;0;0;0;1;1
7970;1;11100033;110;1;3;0;0;0;0;-41,271835;-72,995537;20;0;0;0;1;1
7970;7;71100033;110;7;3;0;0;0;0;-41,271835;-72,995537;5;0;0;0;1;1
7973;9;13100033;310;1;3;0;0;0;0;-41,13213;-73,03257;180;2;2;0;2;1
7975;-1;40100031;10;4;1;0;0;0;0;-41,123585;-73,059708;26;18;18;0;1;1
7975;0;50100031;10;5;1;0;0;0;0;-41,123585;-73,059708;31;3;3;0;1;1
7975;1;11100033;110;1;3;0;0;0;0;-41,123585;-73,059708;34;0;0;0;1;1
7975;7;71100033;110;7;3;0;0;0;0;-41,123585;-73,059708;41;9;9;0;1;1
7976;-1;40100032;10;4;2;0;0;0;0;-41,133854;-73,027657;28;0;0;0;2;1
7976;0;50100031;10;5;1;0;0;0;0;-41,133854;-73,027657;28;0;0;0;2;1
7976;1;11100033;110;1;3;0;0;0;0;-41,133854;-73,027657;35;0;0;0;2;1
7976;7;71100033;110;7;3;0;0;0;0;-41,133854;-73,027657;32;2;2;0;2;1
7977;-1;40100033;10;4;3;0;0;0;0;-41,007797;-73,123207;20;4;4;0;1;1
7977;0;50100033;10;5;3;0;0;0;0;-41,007797;-73,123207;20;3;3;0;1;1
7977;1;11100033;110;1;3;0;0;0;0;-41,007797;-73,123207;33;2;2;0;1;1
7977;7;71100033;110;7;3;0;0;0;0;-41,007797;-73,123207;30;7;7;0;1;1
7978;1;11100033;110;1;3;0;0;0;0;-41,07196;-72,935036;6;6;5;1;1;0
7982;1;11100033;110;1;3;0;0;0;0;-41,0751;-73,244156;7;7;5;2;1;0
7982;7;71100033;110;7;3;0;0;0;0;-41,0751;-73,244156;20;18;17;1;1;0
7987;1;11100033;110;1;3;0;0;0;0;-41,024124;-72,943207;6;5;4;1;1;0
7989;-1;40100032;10;4;2;0;0;0;0;-41,127098;-73,057396;35;0;0;0;1;1
7989;0;50100031;10;5;1;0;0;0;0;-41,127098;-73,057396;45;0;0;0;1;1
7989;1;11100033;110;1;3;0;0;0;0;-41,127098;-73,057396;45;0;0;0;1;1
7989;7;71100033;110;7;3;0;0;0;0;-41,127098;-73,057396;40;0;0;0;1;1
7989;9;13100033;310;1;3;0;0;0;0;-41,127098;-73,057396;42;0;0;0;1;1
7990;1;11100033;110;1;3;0;0;0;0;-41,035381;-73,061821;14;14;11;3;1;0
7992;1;11100033;110;1;3;0;0;0;0;-41,791237;-73,46418;15;14;12;2;1;1
7992;7;71100033;110;7;3;0;0;0;0;-41,791237;-73,46418;20;9;9;0;1;1
7993;1;11100033;110;1;3;0;0;0;0;-41,045807;-73,119499;10;10;8;2;1;0
7994;1;11100033;110;1;3;0;0;0;0;-41,024895;-73,230621;7;7;5;2;1;0
7994;7;71100033;110;7;3;0;0;0;0;-41,024895;-73,230621;7;5;5;0;1;0
7996;1;11100033;110;1;3;0;0;0;0;-41,045086;-72,972076;12;12;10;2;1;0
7998;1;11100033;110;1;3;0;0;0;0;-41,099865;-73,332878;10;10;8;2;1;0
8001;9;13100033;310;1;3;0;0;0;0;-42,479824;-73,768707;360;0;0;0;1;1
8002;7;71100033;110;7;3;0;0;0;0;-42,48439;-73,764221;108;0;0;0;1;1
8002;9;13100033;310;1;3;0;0;0;0;-42,48439;-73,764221;180;1;1;0;1;1
8003;-1;40100032;10;4;2;0;0;0;0;-42,479637;-73,763924;55;25;25;0;2;1
8003;0;50100031;10;5;1;0;0;0;0;-42,479637;-73,763924;55;0;0;0;2;1
8003;1;11100033;110;1;3;0;0;0;0;-42,479637;-73,763924;72;5;5;0;2;1
8003;7;71100033;110;7;3;0;0;0;0;-42,479637;-73,763924;76;6;6;0;2;1
8004;-1;40100032;10;4;2;0;0;0;0;-42,480137;-73,764076;60;12;12;0;1;1
8004;0;50100031;10;5;1;0;0;0;0;-42,480137;-73,764076;60;1;1;0;1;1
8004;1;11100033;110;1;3;0;0;0;0;-42,480137;-73,764076;72;0;0;0;1;1
8004;7;71100033;110;7;3;0;0;0;0;-42,480137;-73,764076;76;14;14;0;1;1
8005;-1;40100033;10;4;3;0;0;0;0;-42,471729;-73,775909;30;0;0;0;1;1
8005;0;50100033;10;5;3;0;0;0;0;-42,471729;-73,775909;30;0;0;0;1;1
