mrun;cod_nivel;rbd_admitido;cod_curso_admitido
174616;8;8685;811000000133
175254;4;535;411000000133
175340;9;25592;131000000133
175417;5;25599;511000000133
175477;10;1500;231000000233
175519;9;22758;131000000133
176008;3;12710;311000000133
176099;2;10283;211000000133
177372;3;20449;311000000131
177950;9;22084;131000000133
178036;9;16697;131000000133
178564;9;448;131000000133
178702;3;24426;311000000133
179595;7;8487;711000000112
180233;10;12151;231000000133
180366;9;9060;131000000133
181533;8;12836;811000000133
182427;12;2934;461064008133
182435;9;8756;131000000233
183104;6;9714;611000000133
183138;7;5597;711000000133
184099;9;25258;131000000133
184629;9;9065;131000000131
186886;6;20263;611000000133
187091;2;26012;211000000133
187502;11;5666;331000000131
187800;2;6304;211000000133
188106;7;10279;711000000133
188411;9;19968;131000000133
188756;7;25717;711000000131
189677;6;5001;611000000133
190611;2;5128;211000000111
191107;8;7628;811000000113
191785;8;4103;811000000133
192593;8;9917;811000000133
192927;6;8849;611000000133
193868;3;25071;311000000133
193932;4;14922;411000000133
194229;4;10493;411000000132
194312;11;12602;351058034133
194733;7;25523;711000000133
194927;6;22616;611000000133
195239;9;7772;131000000133
195696;12;22629;431000000133
196861;11;7236;331000000133
197397;6;22229;611000000133
198861;9;578;131000000133
200151;10;6497;231000000133
200294;7;9947;711000000123
200696;9;40080;131000000133
200997;9;14879;131000000133
202194;4;22658;411000000133
202990;10;1195;231000000131
203076;9;2733;131000000133
203234;7;4834;711000000133
203811;9;5666;131000000132
203853;10;25591;231000000133
205270;2;9891;211000000131
206835;3;227;311000000133
207861;9;1504;131000000131
207901;9;1262;151052009133
208136;3;5606;311000000133
209239;4;9299;411000000133
210083;4;7059;411000000133
210487;7;25749;711000000133
210521;2;1268;211000000132
211257;3;2125;311000000131
211258;5;1087;511000000133
212453;7; ; 
212655;11;10397;351052010133
212878;2;24445;211000000133
213534;3;25238;311000000131
214037;7;16634;711000000133
214095;9;8429;131000000133
216788;7;8485;711000000132
217190;10;22634;231000000133
217474;10;10773;231000000133
217559;10;5663;231000000133
219405;4;3481;411000000133
219433;3;10482;311000000132
219614;5;10689;511000000133
219749;4;10901;411000000133
220038;11;4166;361064001113
220377;7;523;711000000133
220683;9;8598;131000000133
222563;11;3643;351053014133
222729;10;14868;231000000133
222771;9;1121;131000000133
223023;4;4180;411000000133
223055;2;7696;211000000131
223128;9;12610;131000000133
223161;9;8643;131000000113
223716;12;25121;431000000133
224217;2;14201;211000000131
224246;3;14879;311000000133
224666;6;8825;611000000133
224826;2;229;211000000133
224882;4;10640;411000000133
224986;9;9801;131000000133
225818;4;13637;411000000133
225849;7;304;711000000133
225896;6;7654;611000000133
225897;6;4140;611000000333
