mrun;nivel;rbd_admitido;cod_ense_admitido;cod_grado_admitido;respuesta_postulante;rbd_admitido_post_resp;cod_ense_admitido_post_resp;cod_grado_admitido_post_resp
5984958;9;24329;310;1;5;24329;310;1
5993051;0;8455;10;5;5;8455;10;5
5995720;9;24300;310;1;3;24300;310;1
6009105;0;8436;10;5;5;8436;10;5
6013707;-1;8441;10;4;5;8441;10;4
6020180;0;8421;10;5;5;8421;10;5
6020217;0;24305;10;5;7; ; ; 
6021393;-1;24317;10;4;5;24317;10;4
6022289;7;8454;110;7;5;8454;110;7
6025017;-1;16895;10;4;5;16895;10;4
6027442;0;24329;10;5;5;24329;10;5
6027815;9;24319;310;1;5;24319;310;1
6028632;1;24319;110;1;5;24319;110;1
6030549;9;8425;310;1;5;8425;310;1
6032099;1;8454;110;1;5;8454;110;1
6032562;0;24329;10;5;3;24329;10;5
6040149;-1;24318;10;4;5;24318;10;4
6041689;-1;8442;10;4;3;8442;10;4
6048905;1;24327;110;1;5;24327;110;1
6049371;0;11687;10;5;3;11687;10;5
6056059;7;24302;110;7;5;24302;110;7
6065196;9;8427;310;1;3;8427;310;1
6069480;-1;8434;10;4;5;8434;10;4
6082260;-1;8439;10;4;4; ; ; 
6095871;9;24329;310;1;5;24329;310;1
6098511;1;11678;110;1;4; ; ; 
6114175;1;8442;110;1;5;8442;110;1
6120872;7;24329;110;7;4; ; ; 
6121602;9;8427;310;1;5;8427;310;1
6132112;9;8427;310;1;5;8427;310;1
6146309;-1;8437;10;4;3;8437;10;4
6149100;9;8429;310;1;5;8429;310;1
6153526;-1;11680;10;4;5;11680;10;4
6158494;1;8454;110;1;5;8454;110;1
6160889;9;24316;310;1;3;24316;310;1
6184191;-1;8458;10;4;5;8458;10;4
6201995;0;8455;10;5;3;8455;10;5
6206563;9;24300;310;1;5;24300;310;1
6226679;9;8411;310;1;5;8411;310;1
6228783;-1;8434;10;4;5;8434;10;4
6229417;0;8454;10;5;5;8454;10;5
6242149;1;8439;110;1;7; ; ; 
6242155;-1;24313;10;4;3;24313;10;4
6259403;1;16895;110;1;3;16895;110;1
6265560;-1;8458;10;4;3;8458;10;4
6266789;9;8424;310;1;4; ; ; 
6269113;-1;8442;10;4;5;8442;10;4
6269499;0;8434;10;5;5;8434;10;5
6274710;1;8433;110;1;7;24313;110;1
6278472;-1;8412;10;4;5;8412;10;4
6281828;1;24311;110;1;5;24311;110;1
6335519;9;24327;310;1;6;24319;310;1
6338674;0;8433;10;5;5;8433;10;5
6342858;9;8425;310;1;4; ; ; 
6346189;7;8439;110;7;3;8439;110;7
6350978;9;8427;310;1;5;8427;310;1
6352794;1;24319;110;1;5;24319;110;1
6355264;-1;8449;10;4;5;8449;10;4
6356766;9;8425;310;1;4; ; ; 
6359649;-1;24311;10;4;4; ; ; 
6367302;9;24300;310;1;5;24300;310;1
6380821;9;8429;310;1;5;8429;310;1
6397752;9;24300;310;1;5;24300;310;1
6402375;0;8444;10;5;7;8455;10;5
6403552;0;8455;10;5;5;8455;10;5
6409348;0;8444;10;5;5;8444;10;5
6423896;-1;24302;10;4;3;24302;10;4
6429671;0;8421;10;5;4; ; ; 
6431519;-1;8421;10;4;5;8421;10;4
6434337;9;24327;310;1;5;24327;310;1
6446039;9;8425;310;1;5;8425;310;1
6450498;9;24316;310;1;5;24316;310;1
6464199;-1;11680;10;4;5;11680;10;4
6465241;0;8442;10;5;5;8442;10;5
6465295;-1;8442;10;4;4; ; ; 
6474679;-1;8438;10;4;7; ; ; 
6487359;-1;16895;10;4;5;16895;10;4
6490384;0;8444;10;5;4; ; ; 
6514147;0;8421;10;5;4; ; ; 
6517807;1;24311;110;1;5;24311;110;1
6529595;-1;24305;10;4;5;24305;10;4
6541774;9;8427;310;1;5;8427;310;1
6550742;9;24316;310;1;5;24316;310;1
6557442;1;8439;110;1;5;8439;110;1
6568166;-1;8458;10;4;5;8458;10;4
6568887;-1;24313;10;4;5;24313;10;4
6569620;-1;8438;10;4;3;8438;10;4
6589848;-1;11680;10;4;5;11680;10;4
6589889;-1;8422;10;4;5;8422;10;4
