rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;habilitado_distancia
78;1;111000000133;110;1;3;0;1;0;0;0;-18,19582;-69,561928;18;5;2;0;0;0;3;1;1
78;7;711000000133;110;7;3;0;1;0;0;0;-18,19582;-69,561928;38;18;1;0;0;0;17;1;1
78;9;131000000133;310;1;3;0;1;0;0;0;-18,19582;-69,561928;38;18;0;0;0;0;18;1;1
79;1;111000000133;110;1;3;0;1;0;0;0;-18,580721;-69,493759;25;25;0;4;0;0;21;1;1
79;7;711000000133;110;7;3;0;1;0;0;0;-18,580721;-69,493759;25;21;2;2;0;0;17;1;1
81;1;111000000133;110;1;3;0;1;0;0;0;-18,054399;-69,201012;3;3;0;1;0;0;2;1;1
82;1;111000000133;110;1;3;0;1;0;0;0;-18,26881;-69,597023;3;3;0;1;0;0;2;1;1
83;1;111000000133;110;1;3;0;1;0;0;0;-18,200001;-69,266701;3;3;0;1;0;0;2;1;1
84;1;111000000133;110;1;3;0;1;0;0;0;-18,19635;-69,559219;3;3;0;1;0;0;2;1;1
86;1;111000000133;110;1;3;0;1;0;0;0;-18,467779;-69,514893;6;6;0;1;0;0;5;1;1
87;1;111000000133;110;1;3;0;1;0;0;0;-17,854719;-69,606133;5;5;0;1;0;0;4;1;1
88;1;111000000133;110;1;3;0;1;0;0;0;-17,994341;-69,705887;5;5;0;1;0;0;4;1;1
89;1;111000000133;110;1;3;0;1;0;0;0;-17,834391;-69,702782;5;4;0;0;0;0;4;1;1
90;1;111000000133;110;1;3;0;1;0;0;0;-17,594879;-69,481163;5;3;0;0;0;0;3;1;1
90;7;711000000133;110;7;3;0;1;0;0;0;-17,594879;-69,481163;13;10;0;0;0;0;10;1;1
91;1;111000000133;110;1;3;0;1;0;0;0;-17,76635;-69,421242;5;5;0;1;0;0;4;1;1
92;1;111000000133;110;1;3;0;1;0;0;0;-17,69677;-69,688301;5;5;0;1;0;0;4;1;1
93;1;111000000133;110;1;3;0;1;0;0;0;-17,89942;-69,349213;5;5;0;1;0;0;4;1;1
94;1;111000000133;110;1;3;0;1;0;0;0;-17,76013;-69,344948;5;5;0;1;0;0;4;1;1
95;1;111000000133;110;1;3;0;1;0;0;0;-17,95694;-69,453629;5;4;0;0;0;0;4;1;1
97;9;131000000133;310;1;3;0;1;0;0;0;-20,220369;-70,153061;120;47;0;0;0;0;47;1;1
97;10;231000000133;310;2;3;0;1;0;0;0;-20,220369;-70,153061;120;38;0;0;0;0;38;1;1
97;11;341041002133;410;3;3;41002;1;0;0;0;-20,220369;-70,153061;40;21;0;0;0;0;21;1;1
