rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;tiene_orden_pie;tiene_orden_alta_t
27;7;711000000133;110;7;3;0;1;0;0;0;-18,483049;-70,308029;34;0;0;0;0;0;0;1;0;0
28;-1;401000000131;10;4;1;0;1;0;0;0;-18,485069;-70,294403;30;30;2;5;0;0;23;1;1;0
28;0;501000000133;10;5;3;0;1;0;0;0;-18,485069;-70,294403;30;0;0;0;0;0;0;1;0;0
28;1;111000000131;110;1;1;0;1;0;0;0;-18,485069;-70,294403;60;38;0;0;0;0;38;1;0;0
28;7;711000000131;110;7;1;0;1;0;0;0;-18,485069;-70,294403;35;0;0;0;0;0;0;1;0;0
29;-1;401000000133;10;4;3;0;1;0;0;0;-18,47761;-70,28302;50;50;4;8;0;0;38;1;1;0
29;0;501000000133;10;5;3;0;1;0;0;0;-18,47761;-70,28302;50;19;2;0;0;0;17;1;0;0
29;1;111000000133;110;1;3;0;1;0;0;0;-18,47761;-70,28302;60;5;0;0;0;0;5;1;0;0
29;7;711000000133;110;7;3;0;1;0;0;0;-18,47761;-70,28302;60;10;0;0;0;0;10;1;0;0
31;-1;401000000133;10;4;3;0;1;0;0;0;-18,50066;-70,254593;42;42;0;7;0;0;35;1;0;0
31;0;501000000133;10;5;3;0;1;0;0;0;-18,50066;-70,254593;42;0;0;0;0;0;0;1;0;0
31;1;111000000133;110;1;3;0;1;0;0;0;-18,50066;-70,254593;37;0;0;0;0;0;0;1;0;0
31;7;711000000133;110;7;3;0;1;0;0;0;-18,50066;-70,254593;41;1;0;0;0;0;1;1;0;0
32;-1;401000000133;10;4;3;0;1;0;0;0;-18,51926;-70,178741;64;64;4;10;0;0;50;1;1;0
32;0;501000000133;10;5;3;0;1;0;0;0;-18,51926;-70,178741;64;29;3;0;0;0;26;1;0;0
32;1;111000000133;110;1;3;0;1;0;0;0;-18,51926;-70,178741;64;11;0;0;0;0;11;1;0;0
32;7;711000000133;110;7;3;0;1;0;0;0;-18,51926;-70,178741;43;1;0;0;0;0;1;1;0;0
32;9;131000000133;310;1;3;0;1;0;0;0;-18,51926;-70,178741;65;17;0;0;0;0;17;1;0;0
33;-1;401000000133;10;4;3;0;1;0;0;0;-18,41711;-70,225853;20;20;0;3;0;0;17;1;0;0
33;0;501000000133;10;5;3;0;1;0;0;0;-18,41711;-70,225853;20;3;0;0;0;0;3;1;0;0
33;1;111000000133;110;1;3;0;1;0;0;0;-18,41711;-70,225853;20;0;0;0;0;0;0;1;0;0
33;7;711000000133;110;7;3;0;1;0;0;0;-18,41711;-70,225853;20;0;0;0;0;0;0;1;0;0
35;-1;401000000133;10;4;3;0;1;0;0;0;-18,451719;-70,067574;18;18;2;3;0;0;13;1;0;0
35;0;501000000133;10;5;3;0;1;0;0;0;-18,451719;-70,067574;18;6;1;0;0;0;5;1;0;0
35;1;111000000133;110;1;3;0;1;0;0;0;-18,451719;-70,067574;21;4;2;0;0;0;2;1;0;0
36;-1;401000000131;10;4;1;0;1;0;0;0;-18,4956;-70,283524;30;30;2;5;0;0;23;1;1;0
36;0;501000000131;10;5;1;0;1;0;0;0;-18,4956;-70,283524;30;14;0;0;0;0;14;1;0;0
36;1;111000000131;110;1;1;0;1;0;0;0;-18,4956;-70,283524;35;14;0;0;0;0;14;1;0;0
36;7;711000000131;110;7;1;0;1;0;0;0;-18,4956;-70,283524;35;11;0;0;0;0;11;1;0;0
38;-1;401000000133;10;4;3;0;1;0;0;0;-18,558821;-70,100723;45;45;0;7;0;0;38;1;0;0
38;0;501000000133;10;5;3;0;1;0;0;0;-18,558821;-70,100723;45;4;0;0;0;0;4;1;0;0
38;1;111000000133;110;1;3;0;1;0;0;0;-18,558821;-70,100723;52;0;0;0;0;0;0;1;0;0
38;7;711000000133;110;7;3;0;1;0;0;0;-18,558821;-70,100723;45;1;0;0;0;0;1;1;0;0
39;1;111000000133;110;1;3;0;1;0;0;0;-18,578211;-69,965172;15;9;0;3;0;0;6;2;0;0
41;1;111000000133;110;1;3;0;1;0;0;0;-18,820641;-70,140381;12;12;0;2;0;0;10;1;0;0
42;1;111000000133;110;1;3;0;1;0;0;0;-18,38175;-69,944893;7;7;0;2;0;0;5;1;0;0
45;-1;401000000111;10;4;1;0;1;0;0;1;-18,483061;-70,314301;60;60;0;9;0;0;51;1;0;0
45;0;501000000111;10;5;1;0;1;0;0;1;-18,483061;-70,314301;60;31;0;0;0;0;31;1;0;0
45;1;111000000113;110;1;3;0;1;0;0;1;-18,483061;-70,314301;70;19;0;0;0;0;19;1;0;0
45;7;711000000113;110;7;3;0;1;0;0;1;-18,483061;-70,314301;70;6;0;0;0;0;6;1;0;0
45;9;131000000113;310;1;3;0;1;0;0;1;-18,483061;-70,314301;70;40;0;3;0;0;37;1;0;0
50;1;111000000133;110;1;3;0;1;0;0;0;-18,49332;-70,270767;45;45;2;7;0;0;36;1;1;0
50;7;711000000133;110;7;3;0;1;0;0;0;-18,49332;-70,270767;45;0;0;0;0;0;0;1;0;1
50;9;131000000133;310;1;3;0;1;0;0;0;-18,49332;-70,270767;45;0;0;0;0;0;0;1;0;0
52;-1;401000000133;10;4;3;0;1;0;0;0;-18,46834;-70,303596;175;110;0;0;0;0;110;1;0;0
52;0;501000000133;10;5;3;0;1;0;0;0;-18,46834;-70,303596;180;30;0;0;0;0;30;1;0;0
52;1;111000000133;110;1;3;0;1;0;0;0;-18,46834;-70,303596;270;94;0;0;0;0;94;1;0;0
52;7;711000000133;110;7;3;0;1;0;0;0;-18,46834;-70,303596;225;17;0;0;0;0;17;1;0;0
52;9;131000000133;310;1;3;0;1;0;0;0;-18,46834;-70,303596;495;258;0;0;0;0;258;1;0;0
56;0;501000000131;10;5;1;0;1;1;0;0;-18,470751;-70,304817;52;52;0;8;0;0;44;1;0;0
56;1;111000000133;110;1;3;0;1;1;0;0;-18,470751;-70,304817;78;28;0;10;0;0;18;1;0;0
56;7;711000000133;110;7;3;0;1;1;0;0;-18,470751;-70,304817;80;2;0;2;0;0;0;1;0;0
56;9;131000000133;310;1;3;0;1;1;0;0;-18,470751;-70,304817;80;1;0;1;0;0;0;1;0;0
60;-1;401000000131;10;4;1;0;1;0;0;0;-18,49221;-70,280296;70;70;0;11;0;0;59;1;0;0
60;0;501000000131;10;5;1;0;1;0;0;0;-18,49221;-70,280296;70;11;0;0;0;0;11;1;0;0
60;1;111000000133;110;1;3;0;1;0;0;0;-18,49221;-70,280296;70;10;0;0;0;0;10;1;0;0
60;7;711000000133;110;7;3;0;1;0;0;0;-18,49221;-70,280296;45;2;0;0;0;0;2;1;0;0
60;9;131000000133;310;1;3;0;1;0;0;0;-18,49221;-70,280296;90;34;0;0;0;0;34;1;0;0
67;0;501000000131;10;5;1;0;1;1;0;0;-18,48123;-70,318787;26;26;0;4;0;0;22;1;0;0
67;0;501000000132;10;5;2;0;1;1;0;0;-18,48123;-70,318787;26;26;0;4;0;0;22;1;0;0
67;1;111000000132;110;1;2;0;1;1;0;0;-18,48123;-70,318787;72;24;0;3;0;0;21;1;0;0
67;7;711000000131;110;7;1;0;1;1;0;0;-18,48123;-70,318787;54;3;0;0;0;0;3;1;0;0
67;9;131000000131;310;1;1;0;1;1;0;0;-18,48123;-70,318787;45;0;0;0;0;0;0;1;0;0
70;1;111000000133;110;1;3;0;1;0;0;0;-18,93622;-69,530159;8;8;0;2;0;0;6;1;0;0
72;1;111000000133;110;1;3;0;1;0;0;0;-18,832899;-69,744583;10;10;0;2;0;0;8;1;0;0
72;7;711000000133;110;7;3;0;1;0;0;0;-18,832899;-69,744583;10;5;0;0;0;0;5;1;0;0
72;9;131000000133;310;1;3;0;1;0;0;0;-18,832899;-69,744583;10;8;0;1;0;0;7;1;0;0
73;1;111000000133;110;1;3;0;1;0;0;0;-18,739889;-69,583237;5;5;0;1;0;0;4;1;0;0
74;1;111000000133;110;1;3;0;1;0;0;0;-19,00992;-69,860138;5;5;0;1;0;0;4;1;0;0
